No.,Title,URL,View,Date
98,"中기업, 한국기술 강탈 심각…'더블 연봉'제안에 ...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=11&skey=&keyword=&mode=view&bltn_seq=506,846,2018.02.10
99,국가핵심기술 64개 보호위해 中企·연구소 보안 ...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=11&skey=&keyword=&mode=view&bltn_seq=505,687,2018.02.10
100,비즈니스 연계 보안을 위한 전략과 실행방안,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=12&skey=&keyword=&mode=view&bltn_seq=502,625,2018.02.05
101,4차 산업혁명 시대에서의 보안 가치와 전략,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=12&skey=&keyword=&mode=view&bltn_seq=495,857,2018.01.23
102,"[이슈기획] 인텔 CPU 게이트, 국내 여파와 전망",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=12&skey=&keyword=&mode=view&bltn_seq=490,644,2018.01.10
103,[기고] 사이버공간과 가상화폐의 역기능,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=12&skey=&keyword=&mode=view&bltn_seq=489,"1,023",2018.01.09
104,“法·정책 정비하고 ‘경제안보’ 전문인력 양성...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=12&skey=&keyword=&mode=view&bltn_seq=473,759,2017.12.21
105,산업보안관리사 합격,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=12&skey=&keyword=&mode=view&bltn_seq=471,"1,746",2017.12.18
106,2017 제3회 산업보안 한마음 대회 개최,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=12&skey=&keyword=&mode=view&bltn_seq=467,"1,138",2017.12.05
107, ‘Center for Security Intelligence’ 개소,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=12&skey=&keyword=&mode=view&bltn_seq=465,"1,100",2017.12.01
108,[칼럼] EMP 방호 이슈 통해 본 보안의 미래,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=12&skey=&keyword=&mode=view&bltn_seq=449,950,2017.11.17
109,정보보호 공시제도의 갈 길,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=13&skey=&keyword=&mode=view&bltn_seq=446,"1,195",2017.11.15
110,중앙대 산업보안학과 대학(원)생 '2017산업보안 ...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=13&skey=&keyword=&mode=view&bltn_seq=437,"1,303",2017.10.28
111,중앙대 산업보안학과 대학(원)생 '2017 산업보안...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=13&skey=&keyword=&mode=view&bltn_seq=434,"1,559",2017.10.25
112,'융복합 시대' 교육의 변화,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=13&skey=&keyword=&mode=view&bltn_seq=429,"1,040",2017.10.18
113,2017 금융 아이디어 공모전 우수논문상 수상,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=13&skey=&keyword=&mode=view&bltn_seq=425,"1,460",2017.10.12
114,[JTBC]가상화폐 열풍에 묻지마 투자·범죄까지…'...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=13&skey=&keyword=&mode=view&bltn_seq=413,"1,250",2017.09.12
115,제2차 미래보건의료포럼 개최,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=13&skey=&keyword=&mode=view&bltn_seq=404,897,2017.09.01
116,R&D 성과 활용 극대화를 위한 연구 보안의 중요성,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=13&skey=&keyword=&mode=view&bltn_seq=401,900,2017.08.25
117,산업보안 발전을 위한 법제 개선방안 정택 토론회...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=13&skey=&keyword=&mode=view&bltn_seq=400,885,2017.08.25
118,제4차 산업혁명 환경 구축을 위한 미래 산업기술...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=14&skey=&keyword=&mode=view&bltn_seq=399,604,2017.08.25
119,국제학술대회 ICSSC 2017’ 우수논문상(Best Pape...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=14&skey=&keyword=&mode=view&bltn_seq=386,667,2017.08.10
120,중앙대 산업보안학과 재학생 두산중공업과 경남지...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=14&skey=&keyword=&mode=view&bltn_seq=385,884,2017.08.10
121,"중앙대 산업보안학과 대학원생, '정보처리학회'에...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=14&skey=&keyword=&mode=view&bltn_seq=384,747,2017.08.10
122,"중앙대학교 산업보안학과 대학원생, '2017 전자거...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=14&skey=&keyword=&mode=view&bltn_seq=383,835,2017.08.10
123,중앙대 산업보안학과 학부생 '2017 경영정보관련 ...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=14&skey=&keyword=&mode=view&bltn_seq=382,915,2017.08.09
